Position;SeasonPeriod;Name;Played;Won;Lost;Drawn;GF;GA;GD;Points
1;09-10;Chelsea;38;27;6;5;103;32;71;86
2;09-10;Man United;38;27;7;4;86;28;58;85
3;09-10;Arsenal;38;23;9;6;83;41;42;75
4;09-10;Tottenham;38;21;10;7;67;41;26;70
5;09-10;Man City;38;18;7;13;73;45;28;67
6;09-10;Aston Villa;38;17;8;13;52;39;13;64
7;09-10;Liverpool;38;18;11;9;61;35;26;63
8;09-10;Everton;38;16;9;13;60;49;11;61
9;09-10;Blackburn;38;13;14;11;41;55;-14;50
10;09-10;Birmingham;38;13;14;11;38;47;-9;50
11;09-10;Stoke;38;11;13;14;34;48;-14;47
12;09-10;Fulham;38;12;16;10;39;46;-7;46
13;09-10;Sunderland;38;11;16;11;48;56;-8;44
14;09-10;Bolton;38;10;19;9;42;67;-25;39
15;09-10;Wolves;38;9;18;11;32;56;-24;38
16;09-10;Wigan;38;9;20;9;37;79;-42;36
17;09-10;West Ham;38;8;19;11;47;66;-19;35
18;09-10;Burnley;38;8;24;6;42;82;-40;30
19;09-10;Hull;38;6;20;12;34;75;-41;30
20;09-10;Portsmouth;38;7;24;7;34;66;-32;28
1;10-11;Man United;38;23;4;11;78;37;41;80
2;10-11;Chelsea;38;21;9;8;69;33;36;71
3;10-11;Man City;38;21;9;8;60;33;27;71
4;10-11;Arsenal;38;19;8;11;72;43;29;68
5;10-11;Tottenham;38;16;8;14;55;46;9;62
6;10-11;Liverpool;38;17;14;7;59;44;15;58
7;10-11;Everton;38;13;10;15;51;45;6;54
8;10-11;Fulham;38;11;11;16;49;43;6;49
9;10-11;Aston Villa;38;12;14;12;48;59;-11;48
10;10-11;Sunderland;38;12;15;11;45;56;-11;47
11;10-11;West Brom;38;12;15;11;56;71;-15;47
12;10-11;Bolton;38;12;16;10;52;56;-4;46
13;10-11;Stoke;38;13;18;7;46;48;-2;46
14;10-11;Newcastle;38;11;14;13;56;57;-1;46
15;10-11;Blackburn;38;11;17;10;46;59;-13;43
16;10-11;Wigan;38;9;14;15;40;61;-21;42
17;10-11;Wolves;38;11;20;7;46;66;-20;40
18;10-11;Birmingham;38;8;15;15;37;58;-21;39
19;10-11;Blackpool;38;10;19;9;55;78;-23;39
20;10-11;West Ham;38;7;19;12;43;70;-27;33
1;11-12;Man City;38;28;5;5;93;29;64;89
2;11-12;Man United;38;28;5;5;89;33;56;89
3;11-12;Arsenal;38;21;10;7;74;49;25;70
4;11-12;Tottenham;38;20;9;9;66;41;25;69
5;11-12;Newcastle;38;19;11;8;56;51;5;65
6;11-12;Chelsea;38;18;10;10;65;46;19;64
7;11-12;Everton;38;15;12;11;50;40;10;56
